iter	Passed	Remaining
572	5287	3940
573	5296	3930
574	5305	3921
575	5314	3912
576	5323	3902
577	5332	3893
578	5341	3883
579	5351	3875
580	5360	3865
581	5369	3856
582	5378	3847
583	5387	3837
584	5400	3831
585	5409	3821
586	5418	3812
587	5428	3803
588	5439	3795
589	5450	3787
590	5460	3779
591	5469	3769
592	5479	3760
593	5488	3751
594	5498	3742
595	5507	3733
596	5516	3723
597	5526	3715
598	5536	3706
599	5545	3696
600	5554	3687
601	5563	3678
602	5572	3668
603	5581	3659
604	5590	3650
605	5599	3640
606	5608	3631
607	5617	3621
608	5626	3612
609	5635	3603
610	5644	3593
611	5653	3584
612	5662	3574
613	5671	3565
614	5680	3556
615	5689	3546
616	5698	3537
617	5707	3527
618	5716	3518
619	5724	3508
620	5734	3499
621	5743	3490
622	5751	3480
623	5760	3471
624	5769	3461
625	5779	3452
626	5787	3443
627	5796	3433
628	5806	3424
629	5815	3415
630	5824	3405
631	5833	3396
632	5842	3387
633	5851	3377
634	5860	3368
635	5869	3359
636	5878	3350
637	5887	3340
638	5896	3331
639	5905	3322
640	5915	3312
641	5928	3305
642	5937	3296
643	5946	3287
644	5955	3277
645	5963	3268
646	5972	3258
647	5981	3249
648	5990	3240
649	6000	3230
650	6009	3221
651	6018	3212
652	6027	3202
653	6036	3193
654	6045	3184
655	6054	3174
656	6063	3165
657	6072	3156
658	6081	3146
659	6090	3137
660	6099	3128
661	6108	3118
662	6117	3109
663	6126	3100
664	6135	3090
665	6144	3081
666	6153	3072
667	6162	3062
668	6171	3053
669	6180	3044
670	6189	3034
671	6198	3025
672	6207	3016
673	6216	3006
674	6225	2997
675	6234	2988
676	6243	2978
677	6252	2969
678	6261	2960
679	6270	2950
680	6279	2941
681	6288	2931
682	6297	2922
683	6306	2913
684	6315	2904
685	6324	2895
686	6334	2885
687	6342	2876
688	6351	2867
689	6360	2857
690	6369	2848
691	6378	2838
692	6387	2829
693	6396	2820
694	6405	2810
695	6414	2801
696	6423	2792
697	6432	2783
698	6441	2773
699	6453	2765
700	6462	2756
701	6470	2746
702	6479	2737
703	6489	2728
704	6498	2719
705	6507	2709
706	6515	2700
707	6524	2691
708	6534	2681
709	6542	2672
710	6551	2663
711	6560	2653
712	6569	2644
713	6578	2635
714	6587	2625
715	6596	2616
716	6606	2607
717	6615	2598
718	6624	2589
719	6633	2579
720	6644	2571
721	6655	2562
722	6664	2553
723	6673	2543
724	6682	2534
725	6691	2525
726	6699	2515
727	6708	2506
728	6717	2497
729	6726	2487
730	6735	2478
731	6744	2469
732	6753	2460
733	6763	2451
734	6772	2441
735	6781	2432
736	6790	2423
737	6800	2414
738	6808	2404
739	6817	2395
740	6826	2386
741	6835	2376
742	6844	2367
743	6853	2358
744	6862	2348
745	6872	2339
746	6881	2330
747	6890	2321
748	6899	2312
749	6908	2302
750	6917	2293
751	6926	2284
752	6935	2274
753	6944	2265
754	6953	2256
755	6961	2246
756	6974	2238
757	6983	2229
758	6993	2220
759	7002	2211
760	7011	2202
761	7020	2192
762	7029	2183
763	7038	2174
764	7047	2164
765	7056	2155
766	7065	2146
767	7075	2137
768	7084	2128
769	7093	2118
770	7101	2109
771	7110	2100
772	7119	2090
773	7128	2081
774	7137	2072
775	7146	2062
776	7155	2053
777	7164	2044
778	7173	2035
779	7182	2025
780	7191	2016
781	7200	2007
782	7209	1997
783	7218	1988
784	7227	1979
785	7236	1970
786	7245	1960
787	7254	1951
788	7262	1942
789	7271	1933
790	7281	1923
791	7289	1914
792	7299	1905
793	7308	1896
794	7317	1886
795	7326	1877
796	7335	1868
797	7344	1859
798	7353	1849
799	7362	1840
800	7371	1831
801	7380	1822
802	7389	1812
803	7398	1803
804	7407	1794
805	7416	1785
806	7425	1775
807	7434	1766
808	7443	1757
809	7452	1748
810	7461	1738
811	7469	1729
812	7478	1720
813	7487	1710
814	7498	1702
815	7508	1693
816	7517	1683
817	7526	1674
818	7535	1665
819	7544	1656
820	7553	1646
821	7561	1637
822	7570	1628
823	7579	1618
824	7588	1609
825	7597	1600
826	7606	1591
827	7615	1581
828	7624	1572
829	7633	1563
830	7642	1554
831	7653	1545
832	7663	1536
833	7673	1527
834	7683	1518
835	7692	1509
836	7701	1499
837	7710	1490
838	7719	1481
839	7728	1472
840	7737	1462
841	7746	1453
842	7755	1444
843	7764	1435
844	7773	1425
845	7782	1416
846	7792	1407
847	7801	1398
848	7810	1389
849	7819	1379
850	7833	1371
851	7842	1362
852	7852	1353
853	7861	1343
854	7870	1334
855	7878	1325
856	7888	1316
857	7897	1307
858	7906	1297
859	7915	1288
860	7924	1279
861	7933	1270
862	7941	1260
863	7950	1251
864	7959	1242
865	7968	1233
866	7977	1223
867	7986	1214
868	7995	1205
869	8004	1196
870	8012	1186
871	8021	1177
872	8035	1168
873	8044	1159
874	8053	1150
875	8062	1141
876	8071	1132
877	8080	1122
878	8089	1113
